Optimized EHL Solver Init
Step 212/329 | Load err=6.0279e-01 | Res=3.9710e-01 | Iters=0 | Step time=0.096s | Total time=40.3s
Step 213/329 | Load err=5.8618e-01 | Res=3.7137e-01 | Iters=0 | Step time=0.096s | Total time=40.4s
Step 214/329 | Load err=5.6519e-01 | Res=3.3890e-01 | Iters=0 | Step time=0.098s | Total time=40.5s
Step 215/329 | Load err=5.3922e-01 | Res=2.9883e-01 | Iters=0 | Step time=0.096s | Total time=40.6s
Step 216/329 | Load err=5.0761e-01 | Res=2.5026e-01 | Iters=0 | Step time=0.097s | Total time=40.7s
Step 217/329 | Load err=4.6967e-01 | Res=1.9233e-01 | Iters=0 | Step time=0.097s | Total time=40.8s
Step 218/329 | Load err=4.2469e-01 | Res=1.2439e-01 | Iters=0 | Step time=0.097s | Total time=40.9s
Step 219/329 | Load err=3.7192e-01 | Res=4.8620e-02 | Iters=0 | Step time=0.096s | Total time=41.0s
Step 220/329 | Load err=3.1069e-01 | Res=5.8329e-02 | Iters=0 | Step time=0.097s | Total time=41.1s
Step 221/329 | Load err=2.4036e-01 | Res=1.6148e-01 | Iters=0 | Step time=0.097s | Total time=41.2s
Step 222/329 | Load err=1.6012e-01 | Res=2.8277e-01 | Iters=0 | Step time=0.097s | Total time=41.3s
Step 223/329 | Load err=6.8959e-02 | Res=4.2085e-01 | Iters=0 | Step time=0.097s | Total time=41.4s
Step 224/329 | Load err=3.3953e-02 | Res=5.7663e-01 | Iters=0 | Step time=0.097s | Total time=41.5s
Step 225/329 | Load err=1.4934e-01 | Res=7.5130e-01 | Iters=0 | Step time=0.097s | Total time=41.6s
Step 226/329 | Load err=2.7824e-01 | Res=3.6785e+00 | Iters=0 | Step time=0.097s | Total time=41.6s
Step 227/329 | Load err=4.2166e-01 | Res=2.3980e+02 | Iters=0 | Step time=0.097s | Total time=41.7s
Step 228/329 | Load err=5.8014e-01 | Res=7.9088e+02 | Iters=0 | Step time=0.097s | Total time=41.8s
Step 229/329 | Load err=7.5419e-01 | Res=1.5808e+03 | Iters=0 | Step time=0.098s | Total time=41.9s
Step 230/329 | Load err=9.4499e-01 | Res=2.5386e+03 | Iters=0 | Step time=0.098s | Total time=42.0s
Step 231/329 | Load err=1.1533e+00 | Res=3.6002e+03 | Iters=0 | Step time=0.098s | Total time=42.1s
Step 232/329 | Load err=1.3796e+00 | Res=4.7100e+03 | Iters=0 | Step time=0.098s | Total time=42.2s
Step 233/329 | Load err=1.6246e+00 | Res=5.8220e+03 | Iters=0 | Step time=0.098s | Total time=42.3s
Step 234/329 | Load err=1.8890e+00 | Res=6.8993e+03 | Iters=0 | Step time=0.099s | Total time=42.4s
Step 235/329 | Load err=2.1730e+00 | Res=7.9146e+03 | Iters=0 | Step time=0.100s | Total time=42.5s
Step 236/329 | Load err=2.4762e+00 | Res=8.8489e+03 | Iters=0 | Step time=0.099s | Total time=42.6s
Step 237/329 | Load err=2.7996e+00 | Res=9.6910e+03 | Iters=0 | Step time=0.099s | Total time=42.7s
Step 238/329 | Load err=3.1432e+00 | Res=1.0436e+04 | Iters=0 | Step time=0.099s | Total time=42.8s
Step 239/329 | Load err=3.5070e+00 | Res=1.1086e+04 | Iters=0 | Step time=0.099s | Total time=42.9s
